trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
77,created_stop_5,12:33:35,12:33:35,,4,,,,,
78,created_stop_1,12:30:00,12:30:00,,0,,,,,
78,created_stop_2,12:32:26,12:32:26,,1,,,,,
78,created_stop_3,12:35:08,12:35:08,,2,,,,,
78,created_stop_4,12:36:48,12:36:48,,3,,,,,
78,created_stop_5,12:38:35,12:38:35,,4,,,,,
79,created_stop_1,12:35:00,12:35:00,,0,,,,,
79,created_stop_2,12:37:26,12:37:26,,1,,,,,
79,created_stop_3,12:40:08,12:40:08,,2,,,,,
79,created_stop_4,12:41:48,12:41:48,,3,,,,,
79,created_stop_5,12:43:35,12:43:35,,4,,,,,
80,created_stop_1,12:40:00,12:40:00,,0,,,,,
80,created_stop_2,12:42:26,12:42:26,,1,,,,,
80,created_stop_3,12:45:08,12:45:08,,2,,,,,
80,created_stop_4,12:46:48,12:46:48,,3,,,,,
80,created_stop_5,12:48:35,12:48:35,,4,,,,,
81,created_stop_1,12:45:00,12:45:00,,0,,,,,
81,created_stop_2,12:47:26,12:47:26,,1,,,,,
81,created_stop_3,12:50:08,12:50:08,,2,,,,,
81,created_stop_4,12:51:48,12:51:48,,3,,,,,
81,created_stop_5,12:53:35,12:53:35,,4,,,,,
82,created_stop_1,12:50:00,12:50:00,,0,,,,,
82,created_stop_2,12:52:26,12:52:26,,1,,,,,
82,created_stop_3,12:55:08,12:55:08,,2,,,,,
82,created_stop_4,12:56:48,12:56:48,,3,,,,,
82,created_stop_5,12:58:35,12:58:35,,4,,,,,
83,created_stop_1,12:55:00,12:55:00,,0,,,,,
83,created_stop_2,12:57:26,12:57:26,,1,,,,,
83,created_stop_3,13:00:08,13:00:08,,2,,,,,
83,created_stop_4,13:01:48,13:01:48,,3,,,,,
83,created_stop_5,13:03:35,13:03:35,,4,,,,,
84,created_stop_1,13:00:00,13:00:00,,0,,,,,
84,created_stop_2,13:02:26,13:02:26,,1,,,,,
